dataset,variable,definition,type,role,source_or_derivation,rule_version,final_inference_status
price_supply_panel_raw_v1.csv,date,calendar date of market observation,date,market panel,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,stablecoin,stablecoin ticker or symbol,string,identifier,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,issuer,issuer or responsible entity,string,identifier,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,gecko_id,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,defillama_asset_id,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,price_usd,daily USD price,numeric,market outcome input,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,peg_dev,price_usd minus 1.00,numeric,market outcome,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,pilot_or_qc
price_supply_panel_raw_v1.csv,abs_peg_dev,absolute value of peg_dev,numeric,market outcome,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,pilot_or_qc
price_supply_panel_raw_v1.csv,tail_depeg_50bp,indicator for absolute peg deviation at least 50 basis points,binary,market outcome,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,pilot_or_qc
price_supply_panel_raw_v1.csv,tail_depeg_100bp,indicator for absolute peg deviation at least 100 basis points,binary,market outcome,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,pilot_or_qc
price_supply_panel_raw_v1.csv,downside_depeg_50bp,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,downside_depeg_100bp,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,premium_50bp,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,circulating_face_usd,face-value circulating supply proxy,numeric,market control,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,market_cap_usd_est,estimated market cap as supply times price,numeric,market control,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,active_chains_with_supply,project-generated variable; see source script for exact derivation,string/numeric,supporting variable,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
price_supply_panel_raw_v1.csv,market_stress_flag,candidate stress-regime indicator,binary,stress control,DeFiLlama stablecoin endpoints and build_market_panel_p0d.py,,supporting
