decision_id,decision_area,option_id,option_label,panel_recommendation,quality_level,professional_rationale,implementation_consequence,residual_risk,user_action_needed
D001,RQI_asset_weights,A,Use only high-confidence Treasury/cash weights with bank cash 0.70,alternative,A,Most conservative treatment of bank custody risk and stress exposure,Lowers RQI for cash-heavy reserve periods and may reduce usable sample comparability,May over-penalize regulated bank cash,Choose if prioritizing defensibility over continuity
D001,RQI_asset_weights,B,Keep pilot weights and add bank cash robustness at 0.70 and 0.90,recommended,B,Balances theoretical interpretability with continuity of current pipeline,Freeze current weights as v1 but require sensitivity tables before claims,Primary estimates still depend on unverified assumptions,Approve or revise as primary v1 rule
D001,RQI_asset_weights,C,Raise bank cash to 0.90 in primary RQI,not_recommended,C,Treats regulated cash as nearly Treasury-like,Lifts RQI for bank-cash-heavy periods,Weakens ability to test banking-stress mechanism,Choose only with strong theoretical justification
D002,early_2022_aggregate_reports,A,Exclude early-2022 reports from all analysis,alternative,B,Maximizes comparability across detailed reserve reports,Reduces early sample and removes timing evidence,May throw away valid disclosure timing information,Choose if strict comparability dominates
D002,early_2022_aggregate_reports,B,Keep for DII/timing but exclude from RQI interpretation,recommended,A,Uses valid disclosure timing while avoiding false reserve-quality precision,Preserves event-study timing and DII but keeps RQI missing,Creates unbalanced RQI sample,Approve as v1 handling
D002,early_2022_aggregate_reports,C,Impute RQI from later composition,not_recommended,D,Would improve balance but creates unsupported precision,Increases sample size artificially,High risk of biased and non-auditable RQI,Reject unless external composition evidence is found
D003,april_2023_usdc_report,A,Manually reconcile reserve table and code adjusted RQI,alternative,B,Could preserve important stress-period RQI observation,Requires visual accounting review and documented adjustment,Manual judgment may be controversial,Choose if willing to audit PDF table line by line
D003,april_2023_usdc_report,B,Keep DII/event timing but leave RQI missing,recommended,A,Avoids mechanically invalid component total,Protects RQI integrity while retaining disclosure event,Stress-period RQI gap remains,Approve as v1 unless manual reconciliation is completed
D003,april_2023_usdc_report,C,Use automated RQI despite component mismatch,not_recommended,D,Would retain row but violates accounting consistency,Could contaminate stress-period coefficient,High credibility risk,Reject
D004,auditor_provider_coding,A,Freeze auditor coding from OCR text,not_recommended,D,Fast but evidentiary basis is weak,Removes manual flag prematurely,High source-verification risk,Reject
D004,auditor_provider_coding,B,Keep provisional until visual or official verification,recommended,A,Matches academic source-control standards,Maintains manual_review flag for affected rows,Slows final freeze,Approve as required checkpoint
D004,auditor_provider_coding,C,Use issuer-level transparency page as sufficient source,alternative,B,May be acceptable if official page identifies provider clearly,Can resolve many rows faster than PDF visual review,Could miss report-specific provider changes,Choose if official page is archived with access date
D005,weekly_circle_disclosures,A,Fold weekly disclosures into monthly DII,not_recommended,C,Convenient but blends different disclosure types,Inflates monthly DII without event-level support,Conceptual contamination,Reject for v1
D005,weekly_circle_disclosures,B,Treat weekly disclosures as separate events,recommended,A,Preserves event-level disclosure design and frequency distinction,Requires new data layer but improves DII validity,Additional source collection needed,Approve as next data expansion
D005,weekly_circle_disclosures,C,Ignore weekly disclosures entirely,alternative,B,Simplifies pilot to assurance reports only,Keeps current pipeline unchanged,Understates Circle disclosure intensity,Choose only for narrow USDC assurance-only analysis
D006,event_study_windows,A,Use +/-3 only as primary,alternative,A,Lowest overlap and cleaner immediate market reaction,May miss slower disclosure digestion,Less comparable with common event-study windows,Choose if strict identification dominates
D006,event_study_windows,B,Use +/-3 and +/-7 primary; +/-14 robustness,recommended,A,Balances clean windows and reaction horizon,Matches current zero-overlap +/-7 evidence,Still calendar-day not intraday,Approve as v1 event-study design
D006,event_study_windows,C,Use +/-14 as primary,not_recommended,C,Longer horizon but overlap risk exists for 10 events,May confound adjacent monthly disclosures,Higher contamination risk,Use only as robustness
D007,stress_regime_calendar,A,Use current windows as provisional with short-window robustness,recommended,B,Windows match major market/regulatory episodes and remain auditable,Enables pilot heterogeneity while preserving caution,Boundary dates remain contestable,Approve for pilot only
D007,stress_regime_calendar,B,Use only SVB banking stress for USDC pilot,alternative,A,Most relevant to USDC mechanism,Restricts heterogeneity to one stress family,Limits generality,Choose if keeping USDC-only focus
D007,stress_regime_calendar,C,Use broad stress windows without robustness,not_recommended,D,Maximizes stress rows but weakens identification,Could inflate stress effects,High interpretability risk,Reject
D008,interpretation_boundary,A,Allow substantive RQI/DII claims now,not_recommended,D,Premature because T009 and multi-issuer coding remain unresolved,Would move directly to final inferential claims,High overclaiming risk,Reject
D008,interpretation_boundary,B,Allow pipeline and pilot-design claims only,recommended,A,Accurately reflects current evidence,Supports methods writing without overclaiming,Requires restraint in results language,Approve as current interpretation rule
D008,interpretation_boundary,C,Pause all modeling until every source is complete,alternative,B,Maximizes caution but slows learning,Prevents iterative improvement,May delay project unnecessarily,Choose only if institutional review demands it
