record_id,stablecoin,issuer,document_family,record_scope,report_period,report_date,publication_date,coverage_start,coverage_end,source_url,source_file_path,attestor_or_provider,assurance_standard_or_basis,scheduled_flag,ad_hoc_flag,stress_regime,coding_confidence,manual_review_required,notes
IRI001,USDT,Tether,transparency_page,source_landing,ongoing,,,,,https://tether.to/en/transparency/?tab=usdt,,Tether,,NA,0,normal,high,yes,"Official transparency page states Tether token circulation metrics are typically refreshed daily and includes Current Balances / Reports & Reserves sections."
IRI002,USDT,Tether,assurance_report,pilot_report,Q1 2024,2024-03-31,2024-04-30,2024-01-01,2024-03-31,https://assets.ctfassets.net/vyse88cgwfbl/2JwUN6EeDvWi02CyuQd2nJ/d7b3b4c3800ec70abd7282cc79fa2973/ISAE_3000R_-_Opinion_on_Consolidated_Financials_Figures_and_Reserves_Report_31.03.2024_RC134792024BD0043.pdf,,BDO Italia S.p.A.,ISAE 3000 Revised,1,0,normal,high,yes,"Report is as of 31 March 2024 at 11:59 PM UTC; asset categories include T-bills, reverse repos, MMFs, cash/bank deposits, corporate bonds, precious metals, Bitcoin, other investments, secured loans."
IRI003,USDT,Tether,news_release,pilot_release,Q1 2024,2024-03-31,2024-05-01,2024-01-01,2024-03-31,https://tether.io/news/tether-releases-q1-2024-attestation-reports-record-breaking-4-52-billion-profit-highest-treasury-bill-ownership-percentage-ever-total-group-equity-of-11-37-billion/,,Tether; BDO Italia S.p.A.,issuer news release referencing assurance report,1,0,normal,medium,yes,"Use as publication/news timestamp and cross-reference to the PDF report; do not code asset composition from news release if PDF is available."
IRI004,USDC,Circle,transparency_page,source_landing,ongoing,,,,,https://www.circle.com/transparency,,Circle; Big Four accounting firm,AICPA attestation standards for monthly assurance,NA,0,normal,high,yes,"Official page states weekly USDC reserve holdings and mint/burn flows are disclosed, with monthly third-party assurance."
IRI005,USDC,Circle,assurance_report,pilot_report,January 2024,2024-01-31,2024-02-29,2024-01-11,2024-01-31,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20January%202024.pdf,,Deloitte & Touche LLP inferred from Circle Big Four series,AICPA attestation standards,1,0,normal,high,yes,"PDF states report dates January 11 and January 31 2024 and independent accountants' report dated February 29 2024."
IRI006,USDC,Circle,assurance_report,pilot_report,December 2024,2024-12-31,2025-01-30,2024-12-09,2024-12-31,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20December%2024.pdf,,Deloitte & Touche LLP inferred from Circle Big Four series,AICPA attestation standards,1,0,normal,high,yes,"PDF states report dates December 9 and December 31 2024; OCR has minor character noise, so manually verify date line."
IRI007,USDC,Circle,assurance_report,pilot_report,December 2023,2023-12-29,2024-01-30,2023-12-06,2023-12-29,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Examination%20Report%20December%202023.pdf,,Deloitte & Touche LLP inferred from Circle Big Four series,AICPA attestation standards,1,0,normal,high,yes,"PDF states report dates December 6 and December 29 2023 and publication/report date January 30 2024; manually verify OCR line."
IRI008,USDC,Circle,assurance_report,pilot_report,December 2022,2022-12-31,2023-01-25,2022-12-31,2022-12-31,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20December.pdf,,Grant Thornton LLP,AICPA attestation standards,1,0,normal,high,yes,"PDF states report date December 31 2022 at 11:59 PM Pacific Time; independent accountants' report dated January 25 2023."
IRI009,USDP,Paxos,transparency_page,source_landing,ongoing,,,,,https://www.paxos.com/usdp-transparency,,Paxos; KPMG LLP; WithumSmith+Brown PC,AICPA attestation standards for attestations; issuer self-reported monthly holdings,NA,0,normal,high,yes,"Official page says Paxos self-reports portfolio composition 5 business days after month-end and publishes monthly attestation reports; page notes USDP no longer proactively receives monthly reserve reports."
IRI010,USDP,Paxos,monthly_holdings_report,pilot_report,June 2024,2024-06-28,2024-07-01,2024-06-28,2024-06-28,https://paxos.com/wp-content/uploads/2024/07/USDP-Monthly-Stablecoin-Reporting-June-2024-USDP-Disclosure.pdf,,Paxos self-report,Unaudited monthly stablecoin reporting,1,0,normal,high,yes,"Report states unaudited holdings for June 28 2024 at 5pm EST; publication date inferred from July 2024 URL and 5-business-day policy, needs manual confirmation."
IRI011,PYUSD,Paxos,transparency_page,source_landing,ongoing,,,,,https://www.paxos.com/pyusd-transparency,,Paxos; KPMG LLP; WithumSmith+Brown PC,AICPA attestation standards for attestations; issuer self-reported monthly holdings,NA,0,normal,high,yes,"Official page states PYUSD has monthly Paxos reports and attestations; sample begins after 2023 launch."
IRI012,BUSD,Paxos,transparency_page,source_landing,wind-down,,,,,https://www.paxos.com/busd-transparency,,Paxos; KPMG LLP; WithumSmith+Brown PC,AICPA attestation standards for attestations; issuer self-reported monthly holdings,NA,0,regulatory_stress,high,yes,"Official page states Paxos no longer mints BUSD and allows redemption or conversion to USDP; February 2023 wind-down must be event-coded separately."
IRI013,TUSD,TrueUSD,transparency_page,source_landing,ongoing,,,,,https://tusd.io/transparency,,Moore Hong Kong,daily independent third-party attestation described by issuer,NA,0,normal,high,yes,"Official page states TUSD provides daily attestations by independent third-party institutions and reserve breakdown via Moore Hong Kong; daily frequency requires sampling/indexing rule."

