source_id,category,stablecoin,source_name,official_url,source_priority,data_frequency,primary_variables,planned_file_or_table,verification_status,notes,,
SRC001,issuer_disclosure,USDT,Tether Transparency,https://tether.to/en/transparency/?tab=usdt,primary,daily_or_quarterly,circulation_by_chain;reserve_reports;assets_liabilities,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,Daily circulation metrics and reports/reserves page should be archived with access date.,,
SRC002,issuer_disclosure,USDC,Circle Transparency,https://www.circle.com/transparency,primary,weekly_monthly,weekly_reserve_holdings;mint_burn_flows;monthly_assurance,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,Use publication date and report coverage date separately.,,
SRC003,issuer_disclosure,USDP;PYUSD;BUSD,Paxos Regulation and Transparency,https://www.paxos.com/regulation-and-transparency/,primary,monthly,reserve_reports;attestations;redemption_status,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,Includes USDP, PYUSD, BUSD historical materials.
SRC004,issuer_disclosure,GUSD,Gemini Dollar,https://www.gemini.com/dollar,primary,monthly_or_periodic,reserve_assertions;attestations;redemption_terms,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,Smaller regulated stablecoin useful for comparison.,,
SRC005,issuer_disclosure,TUSD,TUSD Transparency,https://tusd.io/transparency,primary,daily,daily_attestation;reserve_breakdown;supported_chains,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,High-frequency disclosure endpoint useful for DII upper-bound coding.,,
SRC006,issuer_disclosure,FDUSD,First Digital Labs Transparency,https://www.firstdigitallabs.com/transparency,primary,monthly,reserve_reports;asset_composition;custodian_disclosure,issuer_report_index.csv;reserve_composition_raw.csv,verified_2026-05-22,Good 2023+ extension sample.,,
SRC007,protocol_disclosure,DAI,MakerDAO/Sky Protocol Documentation,https://docs.makerdao.com/,primary,continuous_or_periodic,collateral_types;vault_parameters;collateralization,protocol_collateral_raw.csv,verified_2026-05-22,Use for robustness or appendix, not main fiat-backed baseline.,
SRC008,market_data,multiple,Binance Public Data,https://github.com/binance/binance-public-data,primary,daily_monthly_files,klines;trades;aggTrades,stablecoin_price_panel.csv,verified_2026-05-22,Official exchange public data with daily/monthly downloadable files.,,
SRC009,market_data,multiple,Coinbase Exchange Product Candles,https://docs.cdp.coinbase.com/api-reference/exchange-api/rest-api/products/get-product-candles,primary,api,ohlc_candles,stablecoin_price_panel.csv,verified_2026-05-22,Use for USD pairs where available; note possible gaps when no ticks occur.,,
SRC010,market_data,multiple,CoinGecko API,https://www.coingecko.com/en/api,secondary,daily_hourly_or_api,price;market_cap;volume;metadata,stablecoin_price_panel.csv,verified_2026-05-22,Aggregator for cross-checking and missing exchange coverage.,,
SRC011,stablecoin_supply,multiple,DeFiLlama API,https://api-docs.defillama.com/,secondary,daily_or_api,stablecoin_mcap;supply;chain_distribution,stablecoin_supply_panel.csv,verified_2026-05-22,Useful for historical stablecoin supply and chain-level distribution.,,
SRC012,regulatory,US_regulated_stablecoins,NYDFS Stablecoin Guidance,https://www.dfs.ny.gov/industry_guidance/industry_letters/il20220608_issuance_stablecoins,primary,policy_document,reserve_eligibility;redeemability;attestation_rules,regulatory_events.csv,verified_2026-05-22,Use to benchmark reserve quality and attestation design.,,
SRC013,regulatory,US_payment_stablecoins,GENIUS Act Public Law 119-27,https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,primary,policy_document,federal_framework;reserve_rules;issuer_supervision,regulatory_events.csv,verified_2026-05-22,Important 2025+ regulatory context.,,
SRC014,regulatory,global_stablecoins,FSB Global Stablecoin Recommendations,https://www.fsb.org/2023/07/regulation-supervision-and-oversight-of-global-stablecoin-arrangements-2/,primary,policy_document,governance;disclosure;redemption;supervision,regulatory_events.csv,verified_2026-05-22,International policy benchmark.,,
SRC015,macro_financial_controls,multiple,FRED API,https://fred.stlouisfed.org/docs/api/fred/fred/,primary,api,treasury_yields;rates;financial_stress,market_controls.csv,verified_2026-05-22,Use for monetary and financial stress controls.,,
